15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:19	 6:15	 7:10	 11:210	 9:4	 10:1	 12:4	 13:5	 16:175	 14:3	 15:-4	 19:285	 17:6	 18:1	 20:4	 21:5	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:8	 7:3	 11:126	 9:7	 10:1	 12:5	 13:3	 16:75	 14:2	 15:-8	 19:141	 17:1	 18:2	 20:5	 21:3	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:159	 6:10	 7:7	 11:78	 9:3	 10:1	 12:1	 13:2	 16:129	 14:1	 15:-8	 19:36	 17:6	 18:1	 20:2	 21:1	
40	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:129	 6:6	 7:-1	 11:92	 9:7	 10:2	 12:1	 13:2	 16:75	 14:6	 15:-6	 19:41	 17:6	 18:1	 20:2	 21:1	
41	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:43	 6:19	 7:3	 11:74	 9:8	 10:2	 12:1	 13:2	 16:68	 14:4	 15:-5	 19:25	 17:1	 18:4	 20:2	 21:1	
32	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:102	 6:8	 7:5	 11:61	 9:4	 10:1	 12:1	 13:2	 16:75	 14:8	 15:-4	 19:108	 17:1	 18:2	 20:5	 21:3	
41	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:11	 7:3	 11:114	 9:7	 10:2	 12:5	 13:3	 16:75	 14:4	 15:-6	 19:28	 17:1	 18:2	 20:2	 21:1	
37	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:85	 6:16	 7:8	 11:91	 9:4	 10:1	 12:1	 13:2	 16:40	 14:16	 15:2	 19:204	 17:6	 18:1	 20:4	 21:5	
26	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:75	 6:10	 7:2	 11:83	 9:1	 10:1	 12:1	 13:2	 16:129	 14:5	 15:-3	 19:45	 17:6	 18:1	 20:2	 21:1	
101	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:215	 6:21	 7:10	 11:103	 9:4	 10:1	 12:5	 13:3	 16:110	 14:12	 15:-1	 19:71	 17:1	 18:2	 20:1	 21:2	
53	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:8	 7:1	 11:162	 9:1	 10:1	 12:6	 13:4	 16:75	 14:4	 15:-5	 19:33	 17:1	 18:2	 20:2	 21:1	
38	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:7	 7:1	 11:85	 9:1	 10:1	 12:1	 13:2	 16:75	 14:6	 15:-5	 19:53	 17:6	 18:1	 20:1	 21:2	
31	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:9	 7:2	 11:82	 9:8	 10:1	 12:1	 13:2	 16:75	 14:8	 15:-4	 19:65	 17:6	 18:1	 20:1	 21:2	
