8	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:9	 7:5	 8:208	 9:2	 10:1	 11:81	 12:1	 13:2	 14:3	 15:-6	 16:75	 17:1	 18:2	 19:32	 20:2	 21:1
300	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:6	 7:1	 8:163	 9:1	 10:1	 11:67	 12:1	 13:2	 14:0	 15:-8	 16:75	 17:6	 18:1	 19:33	 20:2	 21:1
46	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:6	 7:1	 8:163	 9:2	 10:1	 11:51	 12:1	 13:2	 14:4	 15:-5	 16:85	 17:6	 18:1	 19:27	 20:2	 21:1
10	 1:101502	 2:1	 3:76	 4:2	 5:1075	 6:6	 7:-1	 8:129	 9:7	 10:2	 11:92	 12:1	 13:2	 14:6	 15:-6	 16:75	 17:6	 18:1	 19:41	 20:0	 21:1
9	 1:101502	 2:1	 3:76	 4:2	 5:1075	 6:18	 7:14	 8:157	 9:4	 10:2	 11:38	 12:2	 13:1	 14:6	 15:-1	 16:181	 17:6	 18:1	 19:205	 20:4	 21:5
64	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:19	 7:3	 8:43	 9:8	 10:2	 11:74	 12:1	 13:2	 14:4	 15:-5	 16:68	 17:1	 18:4	 19:25	 20:2	 21:1
11	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:11	 7:3	 8:75	 9:7	 10:2	 11:114	 12:5	 13:3	 14:4	 15:-6	 16:75	 17:1	 18:2	 19:28	 20:2	 21:1
13	 1:101502	 2:1	 3:76	 4:2	 5:1075	 6:8	 7:5	 8:102	 9:4	 10:1	 11:61	 12:1	 13:2	 14:8	 15:-4	 16:75	 17:1	 18:2	 19:108	 20:5	 21:3
7	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:10	 7:2	 8:75	 9:1	 10:1	 11:83	 12:1	 13:2	 14:5	 15:-3	 16:129	 17:6	 18:1	 19:45	 20:2	 21:1
4	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:16	 7:8	 8:85	 9:4	 10:1	 11:91	 12:1	 13:2	 14:16	 15:2	 16:40	 17:6	 18:1	 19:204	 20:4	 21:5
12	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:21	 7:10	 8:215	 9:4	 10:1	 11:103	 12:5	 13:3	 14:12	 15:-1	 16:110	 17:1	 18:2	 19:71	 20:1	 21:2
8	 1:101502	 2:1	 3:76	 4:2	 5:1075	 6:9	 7:2	 8:40	 9:8	 10:1	 11:82	 12:1	 13:2	 14:8	 15:-4	 16:75	 17:6	 18:1	 19:65	 20:1	 21:2
16	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:7	 7:4	 8:181	 9:1	 10:3	 11:43	 12:2	 13:1	 14:6	 15:-4	 16:129	 17:1	 18:2	 19:26	 20:2	 21:1
24	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:17	 7:10	 8:85	 9:4	 10:1	 11:62	 12:1	 13:2	 14:17	 15:6	 16:108	 17:6	 18:1	 19:292	 20:4	 21:5
4	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:13	 7:3	 8:75	 9:9	 10:1	 11:122	 12:5	 13:3	 14:12	 15:-3	 16:75	 17:1	 18:2	 19:175	 20:6	 21:4
8	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:18	 7:11	 8:215	 9:4	 10:2	 11:59	 12:1	 13:2	 14:9	 15:0	 16:41	 17:6	 18:1	 19:119	 20:5	 21:3
13	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:7	 7:1	 8:40	 9:1	 10:1	 11:85	 12:1	 13:2	 14:6	 15:-5	 16:75	 17:6	 18:1	 19:53	 20:1	 21:2
8	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:17	 7:8	 8:75	 9:4	 10:1	 11:101	 12:5	 13:3	 14:10	 15:-3	 16:173	 17:6	 18:1	 19:56	 20:1	 21:2
10	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:20	 7:12	 8:19	 9:7	 10:1	 11:126	 12:5	 13:3	 14:21	 15:5	 16:175	 17:6	 18:1	 19:231	 20:4	 21:5
15	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:22	 7:14	 8:215	 9:4	 10:1	 11:38	 12:2	 13:1	 14:10	 15:2	 16:66	 17:6	 18:1	 19:197	 20:6	 21:4
13	 1:101502	 2:1	 3:76	 4:2	 5:1075	 6:6	 7:0	 8:75	 9:7	 10:1	 11:44	 12:2	 13:1	 14:5	 15:-4	 16:75	 17:1	 18:2	 19:39	 20:2	 21:1
10	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:6	 7:-1	 8:163	 9:7	 10:2	 11:50	 12:2	 13:1	 14:1	 15:-6	 16:75	 17:1	 18:3	 19:24	 20:2	 21:1
22	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:11	 7:4	 8:40	 9:4	 10:1	 11:61	 12:1	 13:2	 14:6	 15:-4	 16:129	 17:6	 18:1	 19:45	 20:2	 21:1
13	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:10	 7:3	 8:163	 9:1	 10:2	 11:57	 12:1	 13:2	 14:4	 15:-6	 16:75	 17:1	 18:2	 19:27	 20:2	 21:1
9	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:10	 7:2	 8:40	 9:8	 10:1	 11:52	 12:1	 13:2	 14:8	 15:-4	 16:75	 17:1	 18:2	 19:39	 20:2	 21:1
11	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:13	 7:5	 8:85	 9:1	 10:1	 11:56	 12:1	 13:2	 14:15	 15:4	 16:75	 17:6	 18:1	 19:35	 20:2	 21:1
24	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:15	 7:6	 8:40	 9:5	 10:1	 11:92	 12:1	 13:2	 14:9	 15:-2	 16:25	 17:1	 18:3	 19:39	 20:2	 21:1
20	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:11	 7:5	 8:40	 9:4	 10:1	 11:76	 12:1	 13:2	 14:9	 15:-3	 16:75	 17:6	 18:1	 19:58	 20:1	 21:2
13	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:18	 7:8	 8:40	 9:5	 10:1	 11:87	 12:1	 13:2	 14:7	 15:-2	 16:110	 17:6	 18:1	 19:34	 20:2	 21:1
8	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:10	 7:6	 8:215	 9:3	 10:1	 11:81	 12:1	 13:2	 14:6	 15:-3	 16:40	 17:6	 18:1	 19:99	 20:1	 21:2
31	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:9	 7:2	 8:75	 9:2	 10:1	 11:64	 12:1	 13:2	 14:7	 15:-2	 16:40	 17:6	 18:1	 19:48	 20:2	 21:1
17	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:21	 7:12	 8:85	 9:4	 10:1	 11:99	 12:1	 13:2	 14:17	 15:3	 16:80	 17:6	 18:1	 19:315	 20:3	 21:6
24	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:15	 7:7	 8:85	 9:5	 10:1	 11:98	 12:1	 13:2	 14:8	 15:-3	 16:129	 17:6	 18:1	 19:54	 20:1	 21:2
8	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:12	 7:5	 8:40	 9:3	 10:1	 11:51	 12:1	 13:2	 14:10	 15:-2	 16:75	 17:6	 18:1	 19:145	 20:5	 21:3
8	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:23	 7:10	 8:209	 9:8	 10:1	 11:100	 12:1	 13:2	 14:12	 15:-1	 16:75	 17:1	 18:3	 19:201	 20:4	 21:5
15	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:12	 7:7	 8:215	 9:4	 10:2	 11:108	 12:5	 13:3	 14:9	 15:1	 16:129	 17:6	 18:1	 19:136	 20:5	 21:3
16	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:22	 7:14	 8:208	 9:4	 10:1	 11:54	 12:1	 13:2	 14:14	 15:5	 16:107	 17:6	 18:1	 19:383	 20:3	 21:6
18	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:9	 7:4	 8:40	 9:7	 10:1	 11:74	 12:1	 13:2	 14:8	 15:-2	 16:40	 17:6	 18:1	 19:47	 20:2	 21:1
11	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:17	 7:9	 8:129	 9:8	 10:1	 11:131	 12:5	 13:3	 14:20	 15:5	 16:40	 17:6	 18:1	 19:39	 20:2	 21:1
4	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:16	 7:9	 8:85	 9:2	 10:1	 11:123	 12:5	 13:3	 14:10	 15:-3	 16:85	 17:6	 18:1	 19:115	 20:5	 21:3
